#{"t_start": 1758587406.5173254, "env_id": "None"}
r,l,t
-1.225,276,2.172115
-0.8,91,2.370874
-0.71,73,2.536456
-0.995,130,2.834158
-0.35,1,2.836845
-0.355,2,2.842227
-0.425,16,2.878889
-0.41,13,2.907367
-0.39,9,2.926991
0.095,12,2.957206
-0.395,10,2.978425
-0.455,22,3.026198
-0.37,5,3.038286
-0.44,19,3.079291
-0.14,59,3.208366
-0.625,56,3.661803
0.12,7,3.681107
-0.36,3,3.689164
-0.355,2,3.694191
0.12,7,3.710608
-1.15,361,4.547667
0.055,20,4.591095
-0.37,5,4.603179
-0.355,2,4.60815
-1.02,235,5.141001
-0.36,103,5.363522
-0.35,1,5.366405
-2.2,371,6.26031
0.13,5,6.274282
-0.25,81,6.47716
-0.355,2,6.483438
-0.415,14,6.515341
-1.835,398,9.769796
-0.35,1,9.772345
-0.41,13,9.799186
0.03,25,9.852529
-0.355,2,9.856954
-0.415,14,9.888362
-0.355,102,10.101546
-2.06,543,11.323858
0.11,9,11.343673
-0.375,6,11.357277
-0.395,10,11.380881
0.07,17,11.417909
0.12,7,11.435241
-0.44,19,11.476706
-0.385,8,11.496585
-1.68,267,12.210354
0.125,6,12.223571
0.125,6,12.24106
-0.335,98,12.469544
0.07,17,12.506698
-1.075,146,12.820362
-0.995,230,13.433414
-0.4,11,13.461551
