#{"t_start": 1758587406.5142689, "env_id": "None"}
r,l,t
-0.4,11,1.511911
0.12,7,1.533267
-1.445,220,2.09298
-0.39,9,2.111475
-2.325,396,3.003317
0.12,7,3.018501
0.13,5,3.02845
-0.36,3,3.036843
-0.92,115,3.357123
-0.36,3,3.375407
-2.935,518,4.82776
-0.285,88,5.023074
-2.0,331,5.775378
0.13,5,5.788559
-1.1,151,6.152162
0.1,11,6.181877
0.105,10,6.208134
-0.26,83,6.419069
-0.705,72,6.59008
-0.565,144,9.296627
0.06,19,9.339665
0.01,29,9.40503
-0.385,8,9.423829
-0.37,5,9.435061
-0.08,47,9.528571
-0.455,22,9.573943
0.055,20,9.614683
-0.625,56,9.737172
0.12,7,9.752989
-0.365,4,9.761928
0.115,8,9.779635
0.065,18,9.818153
-0.35,1,9.820971
-0.68,167,10.171871
0.085,14,10.204193
0.23,85,10.401772
-0.37,5,10.416212
-0.445,20,10.461216
0.02,27,10.52046
-0.585,48,10.622139
-0.54,39,10.70995
-0.35,1,10.713223
0.505,30,10.787621
0.1,11,10.812925
-0.36,3,10.820302
0.115,8,10.838852
-0.085,48,10.946745
0.055,20,10.991219
-0.35,1,10.993802
0.0,31,11.058733
-0.375,6,11.072232
-0.375,6,11.084553
-0.975,226,11.587079
-0.45,21,11.631716
-0.54,39,11.828061
-0.13,57,11.968754
0.12,7,11.982715
0.105,10,12.003348
-0.36,3,12.010662
-0.375,6,12.023419
-0.425,16,12.059989
0.13,5,12.072414
0.06,19,12.111961
-0.36,3,12.120257
-0.17,65,12.276936
-0.385,8,12.293742
-0.135,58,12.433699
-1.2,171,12.80055
0.075,16,12.838134
-0.545,40,12.926361
-0.35,1,12.928958
-0.355,2,12.934951
-0.355,2,12.940382
-0.605,52,13.115204
-0.355,2,13.120113
-0.355,2,13.124504
0.11,9,13.14674
0.055,20,13.201011
0.105,10,13.227193
-0.495,30,13.301561
