#{"t_start": 1758587406.5228195, "env_id": "None"}
r,l,t
0.105,10,1.500916
0.11,9,1.528872
0.105,10,1.555218
0.09,13,1.586582
0.145,2,1.59164
-0.92,215,2.130794
0.13,5,2.141268
0.09,13,2.169368
-0.51,33,2.243266
-0.35,1,2.245915
0.005,30,2.311823
-0.48,27,2.368353
-0.425,16,2.405868
-0.47,125,2.682004
-0.385,8,2.700163
-0.35,1,2.703461
-0.82,95,2.92804
0.065,18,2.968472
0.12,7,2.983608
-0.355,2,2.987994
-0.38,7,3.003132
-0.515,34,3.078883
0.04,23,3.125237
0.05,21,3.173403
0.12,7,3.188357
-0.365,4,3.198055
-0.36,3,3.206327
0.135,4,3.216014
0.02,27,3.329234
0.14,3,3.349609
-0.35,1,3.353614
-0.365,4,3.378541
-0.825,96,3.853833
0.02,27,3.917945
0.14,3,3.928762
0.13,105,4.171633
-0.06,43,4.262992
-0.355,2,4.26748
0.13,5,4.281557
0.13,5,4.293025
0.105,10,4.316497
0.04,23,4.368453
0.1,11,4.394849
-0.605,52,4.509089
-0.395,10,4.532457
-2.25,381,5.386049
-0.39,9,5.404988
0.13,5,5.418261
-0.62,155,5.785728
-3.165,664,9.703092
0.085,14,9.735175
0.13,5,9.747394
0.03,25,9.80081
0.07,17,9.836567
0.025,26,9.894459
-0.36,3,9.900972
-0.975,326,10.616362
0.125,6,10.632466
-0.195,70,10.794886
-0.355,2,10.799257
0.09,13,10.831223
-0.44,19,10.875325
-0.355,102,11.098087
-0.42,15,11.134062
-0.365,4,11.14509
-0.375,6,11.160364
-0.15,61,11.292643
-0.175,66,11.440612
0.07,17,11.477524
-0.36,3,11.483729
-0.355,2,11.488084
-1.215,274,12.219017
-0.365,4,12.229943
-0.18,67,12.38461
0.075,16,12.428185
0.125,6,12.441226
0.505,30,12.506876
-0.505,132,12.786523
-0.19,69,12.94479
-0.44,19,12.98135
-0.45,21,13.09461
