#{"t_start": 1758580292.4357646, "env_id": "None"}
r,l,t
-0.51,2,6.626486
-0.68,19,6.660054
-0.76,27,6.708338
-1.2,71,6.835406
-0.54,5,6.844495
-0.53,4,6.851705
-1.64,165,7.149441
-1.46,147,7.412473
-1.16,117,7.624821
-3.46,347,8.310656
-2.24,175,9.227746
-0.51,2,9.231763
-0.74,25,9.278419
-1.19,70,9.411951
-0.53,4,9.420238
-0.53,4,9.42799
-9.5,1000,12.235586
-1.27,128,12.556442
-0.7,21,12.593903
-0.84,85,12.747819
-0.72,73,12.884736
-0.81,32,12.952121
-1.9,191,13.282533
-0.58,9,13.298558
-1.51,102,13.477409
-1.6,111,13.671132
-1.75,176,14.480356
-9.0,1000,16.862486
-1.97,198,17.215387
-1.79,180,17.526753
-1.6,111,17.727667
-0.63,64,17.841558
-0.63,14,17.865881
-0.62,63,17.984876
-0.58,9,18.000684
-9.5,1000,20.195459
-9.5,1000,22.360036
-0.92,43,22.435868
-0.53,4,22.444405
-0.57,58,22.544441
-0.63,14,22.568014
-0.94,45,22.64511
-5.77,578,24.338297
-0.55,6,24.348844
-0.64,65,24.460555
-0.19,20,24.494444
-0.74,75,24.628089
-0.71,72,24.752141
-0.85,36,24.815778
-0.38,39,24.881627
-0.84,85,25.026908
-9.5,1000,27.255662
-0.23,24,27.298188
-9.5,951,29.435125
-9.5,1000,33.264903
-9.36,937,35.426996
-0.77,28,35.476877
-1.07,108,35.668824
-9.5,1000,37.833644
-0.83,34,37.892091
-0.6,11,37.910903
-0.75,26,37.954775
-9.5,1000,40.159673
-0.72,23,40.200818
-0.25,26,40.249158
-0.51,2,40.252768
-0.67,68,40.377073
-0.76,27,40.424835
-0.53,4,40.431989
-3.55,356,41.529295
-1.42,143,41.777354
-0.74,25,41.820899
-0.34,35,41.882948
-0.47,48,41.965079
-0.71,72,42.091552
-0.21,22,42.130567
-0.94,45,42.209306
-1.19,70,42.331136
-1.8,131,42.575339
-0.61,62,42.680975
-0.26,27,42.728278
-0.61,12,42.749762
-3.35,336,43.790532
