#{"t_start": 1758580292.42918, "env_id": "None"}
r,l,t
-0.84,35,6.691795
-4.48,399,7.408097
-0.99,50,7.499239
-2.1,211,7.887897
-0.84,35,7.951908
-0.71,22,7.990754
-0.71,22,8.029837
-0.59,10,8.048311
-1.64,165,8.398716
-1.05,106,9.189125
-0.88,39,9.262487
-0.6,11,9.282901
-1.25,76,9.428726
-0.36,37,9.499181
-0.42,43,9.578089
-1.67,118,9.805624
-1.57,108,9.991112
-0.51,52,10.084274
-1.22,73,10.215642
-1.0,51,10.305257
-0.85,36,10.36867
-9.5,1000,13.263468
-0.66,17,13.292445
-0.55,6,13.303058
-0.62,13,13.326522
-7.91,792,15.378355
-0.82,33,15.435756
-0.66,17,15.464918
-5.45,546,16.888607
-9.5,1000,19.119585
-9.5,1000,20.837267
-1.54,155,21.564223
-9.76,977,23.854887
-0.68,19,23.887228
-3.4,341,24.556726
-1.37,138,24.797483
-1.29,130,25.019135
-0.33,34,25.076936
-0.62,13,25.098768
-0.22,23,25.137724
-3.78,379,26.293202
-9.5,1000,28.504118
-9.5,1000,32.33638
-0.59,10,32.355369
-0.18,19,32.389531
-9.65,966,34.613734
-0.35,36,34.682049
-0.79,80,34.818991
-1.31,132,35.043175
-0.5,1,35.044979
-9.5,1000,37.219675
-0.78,29,37.27011
-0.64,15,37.296168
-0.69,20,37.330439
-0.81,32,37.385653
-0.51,2,37.389165
-0.61,12,37.409479
-0.83,34,37.468726
-0.51,52,37.557925
-0.84,85,37.701994
-0.61,12,37.722131
-0.98,49,37.804644
-0.55,6,37.814978
-0.75,76,37.943976
-0.57,8,37.957564
-0.5,1,37.959353
-0.93,94,38.117936
-9.5,1000,40.334491
-0.86,37,40.402571
-0.54,5,40.411893
-3.68,369,41.532113
-0.56,57,41.631093
-0.88,89,41.785823
-0.94,45,41.865222
-3.42,343,42.475731
-3.68,369,43.570622
-0.72,73,43.701226
-0.17,18,43.735285
-0.59,10,43.752762
-9.0,1000,45.986812
-0.28,29,46.036126
-0.66,17,46.065569
-0.59,10,46.082463
-0.91,92,46.238582
-0.44,45,46.317497
-1.03,104,46.498452
-0.51,2,46.501966
-1.58,159,46.780037
-1.01,102,46.954953
-0.58,9,46.970512
-0.72,23,47.010457
-1.76,127,47.232132
-0.62,63,47.339622
-1.36,87,47.487884
-0.82,33,48.019786
-0.85,86,48.168102
-0.74,25,48.21084
-0.53,4,48.217749
-0.53,4,48.224604
-1.45,96,48.389756
-0.62,13,48.411913
-0.57,8,48.425375
-0.69,70,48.547166
-0.45,46,48.628698
-0.5,1,48.630775
-7.71,772,50.734502
-0.56,7,50.748078
-0.67,68,50.89748
-0.5,1,50.899586
-0.3,31,50.982038
-0.77,28,51.031175
-0.76,27,51.081949
-0.56,7,51.09534
-0.31,32,51.153714
-0.11,12,51.174625
-2.24,225,51.630788
-1.36,87,51.782819
-0.26,27,51.831747
-1.44,145,52.089797
-0.53,4,52.096709
-0.5,1,52.098527
-0.14,15,52.124705
-0.54,5,52.133434
-1.87,188,52.453827
-0.53,4,52.905299
-1.01,52,53.000779
-0.58,9,53.01616
-1.52,153,53.278061
-0.72,23,53.318219
-1.68,169,53.611174
-1.03,54,53.705275
-0.69,20,53.739708
-0.58,9,53.755193
-0.56,7,53.767195
-0.56,57,55.941556
-1.37,138,56.185404
-0.37,38,56.251008
-0.58,9,56.266611
-0.73,24,56.307952
-0.52,3,56.31312
-0.59,10,56.330573
-0.7,21,56.366246
-0.38,39,56.432805
-0.57,58,56.534662
-0.11,12,56.556544
-0.5,1,56.558631
-1.04,55,56.655018
-1.81,182,57.445644
-0.31,32,57.50157
-1.22,123,57.713545
-2.53,254,58.149608
-0.35,36,58.211798
-1.11,112,58.410108
-0.52,3,58.415455
-1.98,199,58.760105
-0.36,37,58.823507
-0.61,62,58.928977
-0.97,48,59.481425
-2.08,209,59.85656
-0.46,47,59.939565
-0.62,13,59.961789
-0.71,22,59.999972
-1.31,132,60.233713
-0.05,6,60.245258
-0.34,35,60.3101
-0.67,68,60.435549
-0.13,14,60.459798
-2.74,275,60.957369
-0.56,7,60.971275
-0.7,21,61.009558
-0.34,35,61.072115
-0.27,28,61.121876
-0.33,34,61.181566
-0.53,54,61.280298
-0.72,73,61.892272
-0.13,14,61.917824
-1.7,121,62.135562
-0.95,96,62.310469
-0.55,56,62.415323
-0.47,48,62.505587
-0.53,4,62.512872
-0.47,48,62.597825
-0.51,52,62.687351
-0.63,64,62.800979
-2.28,229,63.196038
-0.32,33,63.253217
-0.62,63,63.363361
-1.1,111,63.564661
-0.45,46,64.123653
-2.13,214,64.509976
-0.54,55,64.621729
-0.6,61,64.741612
-0.77,78,64.896834
-0.35,36,64.95955
-0.3,31,65.022131
-0.93,94,65.222005
-0.16,17,65.256074
-0.51,52,65.359073
-0.58,59,65.47841
-0.69,20,65.518282
-1.77,178,65.856309
-0.16,17,65.886649
-0.91,92,66.049956
-0.64,15,66.541927
-0.47,48,66.627019
-0.2,21,66.668424
-0.97,98,66.840477
-0.89,90,66.995806
-0.14,15,67.021867
-1.06,107,67.207255
-0.29,30,67.258969
-0.61,62,67.366993
-0.96,97,67.543863
-0.43,44,67.623035
-1.12,63,67.738849
-3.74,325,68.311975
-1.64,165,69.096972
-0.2,21,69.133278
-0.51,2,69.136895
-0.24,25,69.182308
-0.16,17,69.211811
-0.41,42,69.286263
-0.07,8,69.301048
-0.52,3,69.306271
-1.01,102,69.487321
-0.58,59,69.591511
-0.52,3,69.597128
-0.06,7,69.609775
-0.11,12,69.630912
-0.29,30,69.68383
-0.28,29,69.735089
-0.56,7,69.747442
-0.76,77,69.894687
-0.83,84,70.041807
-0.36,37,70.107452
-9.01,952,72.385597
-0.17,18,72.417971
-0.36,37,72.484683
-0.53,4,72.491986
-0.32,33,72.550756
-0.47,48,72.6342
-0.31,32,72.69041
-0.5,1,72.69237
-0.26,27,72.740049
-0.19,20,72.775274
-0.62,13,72.798219
-0.29,30,72.851293
-0.27,28,72.902545
-0.12,13,72.934981
-0.3,31,72.990311
-0.37,38,73.056759
-0.26,27,73.565794
-0.6,11,73.585044
-0.65,66,73.706517
-0.79,30,73.76177
-0.34,35,73.825656
-0.72,23,73.866407
-0.78,79,74.018257
-0.58,9,74.036336
-0.42,43,74.117041
-0.29,30,74.175054
-0.27,28,74.225626
-0.26,27,74.273616
-0.29,30,74.325989
-0.53,4,74.33302
-0.97,98,74.509373
-0.9,41,74.581791
-0.17,18,74.614117
-0.53,4,74.620917
-0.11,12,74.641964
-0.21,22,74.680643
-0.51,2,74.684193
-0.5,1,74.686138
-0.31,32,74.742332
-0.32,33,74.800817
-0.5,1,74.802661
-0.54,5,74.811702
-0.39,40,74.881809
-0.63,14,74.906544
-0.58,9,74.923119
-0.31,32,74.97918
-0.3,31,75.039402
-0.6,11,75.058625
-0.33,34,75.118607
-0.19,20,75.15454
-0.55,56,75.25468
-0.46,47,75.337737
-0.19,20,75.372892
-1.01,102,75.991922
-0.29,30,76.045788
-0.36,37,76.116328
-0.19,20,76.151155
-0.41,42,76.226432
-0.17,18,76.258885
-1.3,131,76.489795
-0.57,8,76.503723
-0.2,21,76.540248
-0.3,31,76.595359
-0.59,10,76.613235
-0.13,14,76.63809
-0.58,9,76.653642
-0.12,13,76.676466
-0.31,32,76.73321
-0.34,35,76.795908
-0.45,46,76.87957
-0.51,2,76.883206
-0.36,37,76.94904
-0.35,36,77.012817
-0.34,35,77.077062
-0.54,5,77.085903
-0.04,5,77.0961
-0.45,46,77.181229
-0.26,27,77.239348
-0.42,43,77.326967
-0.33,34,77.38657
-0.84,85,77.54232
-0.5,1,77.544237
-0.56,7,77.556909
-0.17,18,77.590422
-0.24,25,77.635395
-0.22,23,77.676671
-0.19,20,78.188997
-0.19,20,78.224767
-0.55,6,78.235441
-0.18,19,78.268208
-0.23,24,78.310543
-0.5,1,78.312365
-0.7,71,78.439719
-0.14,15,78.467199
-0.39,40,78.539218
-0.52,3,78.544763
-0.19,20,78.579823
-0.42,43,78.656956
-0.33,34,79.257184
-0.16,17,79.288382
-0.29,30,79.342046
-0.63,14,79.366905
-0.5,1,79.368705
-0.56,57,79.47077
-0.21,22,79.509904
-0.54,55,79.60706
-0.53,4,79.614722
-0.41,42,79.688848
-0.48,49,79.775741
-0.51,52,79.869112
-0.36,37,79.935561
-0.76,27,79.983296
-0.17,18,80.01765
-0.62,13,80.041086
-0.5,1,80.042941
-0.45,46,80.128267
-0.19,20,80.164282
-0.59,10,80.181773
-0.5,51,80.280321
-0.11,12,80.301799
-0.34,35,80.365652
-0.13,14,80.390277
-0.48,49,80.479884
-0.53,4,80.487063
-0.59,60,81.036842
-0.22,23,81.078204
-0.15,16,81.106713
-0.55,6,81.118572
-0.57,8,81.132439
-0.28,29,81.184834
-0.41,42,81.264776
-0.54,5,81.274481
-0.33,34,81.339164
-0.21,22,81.379501
-0.3,31,81.433748
-0.61,12,81.455116
-0.21,22,81.495917
-0.51,52,81.589024
-0.58,59,81.69473
-0.6,11,81.714227
-0.54,5,81.723186
-0.32,33,81.783173
-0.56,7,81.796541
-0.51,2,81.800245
-0.29,30,81.855125
-0.54,5,81.864524
-0.51,2,81.868215
-0.36,37,81.934244
-0.27,28,81.983792
-0.66,17,82.013641
-0.11,12,82.034779
-0.58,9,82.051408
-0.44,45,82.131903
-0.26,27,82.180369
-0.4,41,82.254461
-0.45,46,82.340326
-0.46,47,82.426557
-0.2,21,82.464779
-0.31,32,82.521761
-0.57,8,82.536508
-0.14,15,82.562894
-0.51,2,82.566397
-0.21,22,82.606768
-0.28,29,82.658068
-0.12,13,82.681385
-0.32,33,82.740337
-0.11,12,82.761331
-0.11,12,82.782797
-0.21,22,82.822152
-0.59,10,83.283254
-0.06,7,83.295781
-0.57,8,83.31013
-0.1,11,83.329657
-0.54,5,83.340023
-0.58,9,83.359043
-0.59,60,83.47433
-0.11,12,83.496343
-0.2,21,83.534447
-0.11,12,83.556287
-0.14,15,83.583557
-0.52,3,83.589184
-0.17,18,83.62133
-0.19,20,83.657881
-0.53,4,83.665416
-0.18,19,83.702492
-0.22,23,83.745056
-0.33,34,83.806245
-0.22,23,83.848528
-0.52,3,83.853694
-0.15,16,83.882827
-0.09,10,83.900209
-0.4,41,83.975068
-0.4,41,84.048311
-0.61,12,84.0694
-0.52,3,84.07525
-0.15,16,84.102953
-0.2,21,84.139905
-0.08,9,84.155696
-0.13,14,84.181304
-0.37,38,84.249489
-0.24,25,84.293301
-0.66,67,84.416547
-0.11,12,84.440741
-0.54,5,84.450222
-0.7,21,84.490437
-0.29,30,84.546332
-0.22,23,84.58915
-0.16,17,84.620535
-0.19,20,84.657842
-0.17,18,84.694791
-0.56,57,84.80317
-0.43,44,84.885552
-0.27,28,84.936976
-0.18,19,84.971323
-0.37,38,85.039749
-0.26,27,85.088233
-0.35,36,85.154304
-0.18,19,85.682953
-0.15,16,85.712936
-0.13,14,85.738466
-0.11,12,85.759961
-0.24,25,85.805763
-0.17,18,85.839513
-0.12,13,85.864291
-0.15,16,85.893594
-0.09,10,85.911819
-0.08,9,85.928523
-0.15,16,85.956853
-0.14,15,85.98319
-0.42,43,86.061787
-0.31,32,86.120789
-0.56,57,86.226247
-0.17,18,86.260516
-0.22,23,86.302777
-0.18,19,86.337594
-0.35,36,86.404421
-0.19,20,86.441498
-0.44,45,86.528795
-0.22,23,86.57267
-0.53,54,86.669756
-0.16,17,86.709736
-0.23,24,86.75292
-0.12,13,86.777883
-0.31,32,86.836203
-0.85,86,86.992186
-0.48,49,87.083219
-0.45,46,87.166854
-0.05,6,87.17824
-0.14,15,87.205986
-0.3,31,87.261315
-0.18,19,87.295259
-0.48,49,87.383867
-0.17,18,87.416551
-0.18,19,87.450385
-0.14,15,87.477729
-0.12,13,87.502244
-0.14,15,87.531006
-0.2,21,88.07846
-0.15,16,88.10768
-0.11,12,88.129428
-0.18,19,88.166164
-0.2,21,88.203328
-0.58,9,88.220069
-0.32,33,88.280846
-0.25,26,88.328558
-0.16,17,88.359468
-0.09,10,88.378482
-0.1,11,88.400848
-0.23,24,88.445134
-0.46,47,88.532096
-0.29,30,88.590893
-0.31,32,88.653686
-0.1,11,88.674173
-0.45,46,88.761259
-0.23,24,88.806236
-0.46,47,88.89504
-0.26,27,88.944635
-0.52,3,88.950337
-0.1,11,88.970422
-0.25,26,89.018081
-0.14,15,89.045017
-0.32,33,89.10477
-0.34,35,89.168987
-0.19,20,89.206628
-0.22,23,89.250606
-0.27,28,89.302276
-0.54,5,89.312821
-0.21,22,89.352996
-0.24,25,89.40202
-0.23,24,89.445863
-0.17,18,89.47908
-0.24,25,89.525604
-0.29,30,89.581602
-0.25,26,89.629323
-0.14,15,89.662652
-0.33,34,89.725079
-0.18,19,89.760803
-0.2,21,89.798526
-0.25,26,89.846705
-0.33,34,89.908187
-0.5,1,89.910224
-0.3,31,89.96647
-0.5,1,89.968406
-0.23,24,90.447045
-0.28,29,90.500476
-0.37,38,90.57265
-0.24,25,90.618739
-0.21,22,90.659948
-0.24,25,90.713195
-0.13,14,90.738262
-0.18,19,90.773115
-0.54,5,90.782637
-0.21,22,90.822778
-0.29,30,90.878477
-0.22,23,90.922004
-0.22,23,90.965055
-0.13,14,90.990766
-0.26,27,91.041962
-0.21,22,91.08254
-0.14,15,91.110197
-0.09,10,91.128093
-0.03,4,91.135159
-0.41,42,91.212846
-0.27,28,91.264729
-0.21,22,91.304306
-0.22,23,91.349677
-0.24,25,91.39912
-0.08,9,91.418439
-0.33,34,91.483813
-0.06,7,91.49674
-0.17,18,91.533794
-0.66,67,91.658192
-0.18,19,91.693509
-0.51,2,91.6973
-0.61,12,91.721503
-0.34,35,91.789413
-0.19,20,91.825736
-0.25,26,91.873833
-0.23,24,91.917814
-0.1,11,91.937718
-0.53,4,91.944985
-0.15,16,91.974652
-0.13,14,92.000341
-0.51,52,92.094269
-0.11,12,92.115709
-0.18,19,92.15066
-0.19,20,92.186785
-0.21,22,92.226582
-0.21,22,92.266313
-0.1,11,92.286865
-0.17,18,92.318957
-0.1,11,92.892638
-0.12,13,92.916337
-0.18,19,92.952315
-0.18,19,92.987054
-0.18,19,93.021772
-0.54,5,93.031756
-0.54,5,93.040762
-0.11,12,93.064088
-0.39,40,93.140458
-0.13,14,93.166167
-0.18,19,93.201091
-0.18,19,93.23831
-0.51,2,93.242075
-0.1,11,93.262236
-0.08,9,93.279956
-0.08,9,93.295751
-0.27,28,93.34671
-0.1,11,93.367378
-0.14,15,93.394308
-0.16,17,93.42645
-0.21,22,93.46727
-0.28,29,93.519865
-0.55,56,93.621119
-0.14,15,93.648603
-0.07,8,93.663266
-0.63,14,93.688739
-0.07,8,93.703386
-0.51,2,93.707173
-0.3,31,93.765461
-0.33,34,93.831119
-0.11,12,93.854361
-0.17,18,93.886976
-0.22,23,93.927491
-0.18,19,93.961864
-0.33,34,94.022896
-0.38,39,94.093248
-0.2,21,94.131714
-0.17,18,94.163615
-0.26,27,94.212362
-0.09,10,94.230614
-0.5,1,94.232568
-0.22,23,94.274754
-0.24,25,94.320847
-0.11,12,94.34278
-0.23,24,94.386627
-0.13,14,94.412827
-0.09,10,94.430958
-0.16,17,94.461518
-0.18,19,94.496782
-0.46,47,94.582295
-0.08,9,94.598877
-0.16,17,94.629728
-0.56,7,94.642476
-0.19,20,94.678327
-0.19,20,94.715138
-0.28,29,95.354887
-0.23,24,95.398878
-0.22,23,95.440436
-0.24,25,95.511197
-0.06,7,95.525393
-0.23,24,95.572701
-0.44,45,95.661561
-0.15,16,95.6949
-0.24,25,95.740316
-0.17,18,95.773426
-0.41,42,95.851802
-0.22,23,95.894853
-0.13,14,95.924561
-0.09,10,95.944669
-0.09,10,95.964798
-0.17,18,95.998296
-0.09,10,96.016314
-0.17,18,96.048681
-0.14,15,96.076356
-0.3,31,96.133571
-0.13,14,96.164499
-0.19,20,96.206055
-0.18,19,96.246962
-0.1,11,96.271508
-0.19,20,96.312902
-0.55,6,96.325121
-0.15,16,96.357804
-0.19,20,96.397722
-0.19,20,96.43626
-0.13,14,96.46457
-0.06,7,96.478917
-0.52,3,96.484978
-0.11,12,96.508438
-0.15,16,96.540073
-0.13,14,96.566613
-0.17,18,96.600588
-0.21,22,96.643212
-0.11,12,96.666275
-0.12,13,96.692553
-0.13,14,96.721327
-0.23,24,96.766788
-0.66,67,96.89373
-0.1,11,96.915327
-0.25,26,96.969113
-0.08,9,96.987156
-0.14,15,97.015439
-0.09,10,97.03518
-0.22,23,97.078326
-0.14,15,97.105459
-0.34,35,97.171835
-0.26,27,97.221006
-0.14,15,97.24842
-0.21,22,97.288631
-0.53,4,97.296109
-0.08,9,97.311946
-0.07,8,97.326623
-0.07,8,97.3412
-0.25,26,97.828703
-0.15,16,97.858161
-0.13,14,97.883804
-0.14,15,97.911436
-0.14,15,97.939013
-0.25,26,97.987485
-0.15,16,98.022163
-0.05,6,98.034146
-0.29,30,98.089447
-0.14,15,98.116674
-0.52,3,98.122522
-0.13,14,98.148577
-0.16,17,98.179528
-0.27,28,98.233214
-0.08,9,98.249533
-0.08,9,98.266806
-0.33,34,98.330098
-0.26,27,98.379597
-0.12,13,98.403356
-0.26,27,98.452912
-0.17,18,98.485614
-0.21,22,98.525887
-0.51,2,98.529546
-0.13,14,98.55564
-0.18,19,98.590888
-0.21,22,98.630129
-0.29,30,98.68567
-0.12,13,98.709085
-0.09,10,98.727478
-0.53,4,98.735248
-0.23,24,98.780427
-0.32,33,98.840664
-0.07,8,98.855406
-0.02,3,98.861053
-0.24,25,98.90737
-0.21,22,98.947403
-0.23,24,98.991298
-0.2,21,99.029415
-0.53,4,99.037695
-0.29,30,99.096971
-0.12,13,99.120497
-0.18,19,99.155101
-0.12,13,99.179126
-0.12,13,99.202596
-0.14,15,99.230321
-0.07,8,99.244506
-0.23,24,99.289061
-0.12,13,99.313928
-0.17,18,99.346523
-0.25,26,99.394549
-0.25,26,99.4435
-0.24,25,99.490501
-0.1,11,99.511124
-0.16,17,99.542527
-0.13,14,99.568279
-0.08,9,99.584588
-0.18,19,99.619897
-0.36,37,100.196413
-0.2,21,100.23755
-0.54,5,100.247101
-0.13,14,100.274607
-0.12,13,100.299628
-0.14,15,100.327835
-0.05,6,100.341607
-0.15,16,100.372848
-0.08,9,100.390929
-0.21,22,100.433089
-0.22,23,100.476275
-0.25,26,100.52693
-0.1,11,100.547674
-0.33,34,100.610421
-0.04,5,100.621001
-0.1,11,100.643483
-0.08,9,100.66127
-0.09,10,100.679756
-0.53,54,100.778443
-0.18,19,100.815248
-0.1,11,100.83544
-0.07,8,100.851215
-0.07,8,100.866922
-0.14,15,100.895131
-0.53,4,100.902696
-0.51,2,100.906801
-0.29,30,100.962278
-0.1,11,100.983088
-0.1,11,101.00364
-0.18,19,101.039513
-0.1,11,101.060093
-0.2,21,101.099534
-0.11,12,101.121349
-0.15,16,101.152654
-0.32,33,101.219936
