#{"t_start": 1758577206.2096374, "env_id": "None"}
r,l,t
-3.19,320,2.083616
-0.4,41,2.167435
-0.93,44,2.251199
-1.05,106,2.464808
-4.67,418,3.262318
-1.42,143,4.054538
-1.34,135,4.313296
-1.93,194,4.690594
-1.64,165,5.009509
-1.74,175,5.33253
-2.54,255,5.927411
-0.72,23,5.969895
-5.83,584,7.528565
-0.73,74,7.662874
-9.0,1000,9.8929
-2.59,509,11.307368
-1.37,387,12.013607
0.61,189,12.362072
-0.34,284,12.876955
-1.29,130,13.592424
1.14,136,13.836539
-0.99,50,13.933344
-1.3,131,14.175742
0.36,214,14.554167
-0.99,100,14.732855
-1.66,167,15.046795
-1.61,162,15.342081
1.08,142,16.105538
-1.11,112,16.311444
-0.96,97,16.49436
1.6,90,16.658076
1.41,109,16.859299
1.46,104,17.043528
-0.5,51,17.135329
0.99,151,17.405384
-0.71,72,17.535167
-0.45,46,17.616085
-0.47,48,17.70277
1.93,57,18.252605
1.67,83,18.401071
1.5,100,18.583277
1.47,103,18.76867
1.75,75,18.902218
1.9,60,19.007298
1.43,107,19.201808
1.54,96,19.367458
1.64,86,19.526684
1.79,71,19.653249
1.3,120,19.868913
1.83,67,19.993427
1.7,80,20.666135
1.79,71,20.795602
1.76,74,20.927466
1.78,72,21.054361
1.87,63,21.163146
-0.72,73,21.295207
1.7,80,21.441033
1.86,64,21.563703
1.61,89,21.725077
1.77,73,21.853336
1.94,56,21.950643
1.49,101,22.130333
1.49,101,22.322037
-0.85,86,22.9292
2.04,46,23.010784
1.44,106,23.196965
1.96,54,23.291709
2.04,46,23.375996
1.89,61,23.491174
1.71,79,23.637313
1.83,67,23.75824
1.87,63,23.867892
1.84,66,23.983445
1.7,80,24.125599
0.81,169,27.095192
1.8,70,27.221385
1.54,96,27.854033
2.01,49,28.010193
1.7,80,28.185418
1.71,79,28.330655
1.95,55,28.428964
1.81,69,28.555852
1.98,52,28.656276
1.96,54,28.754119
1.82,68,28.874109
1.87,63,28.986391
1.78,72,29.112176
1.79,71,29.236091
1.94,56,29.336847
1.82,68,29.4596
1.76,74,29.602398
2.03,47,29.689639
1.92,58,30.311786
2.03,47,30.398044
1.99,51,30.493987
2.03,47,30.576893
1.58,92,30.804073
1.85,65,30.919623
1.91,59,31.028208
1.95,55,31.12461
1.92,58,31.226929
1.8,70,31.352406
2.08,42,31.425026
1.84,66,31.544902
2.06,44,31.622024
1.81,69,31.745311
1.86,64,31.859519
2.03,47,31.941336
1.86,64,32.055895
2.01,49,32.143968
1.92,58,32.672789
2.02,48,32.760132
2.13,37,32.826729
1.97,53,32.918658
2.08,42,32.993182
2.02,48,33.082257
2.1,40,33.202696
1.9,60,33.313079
1.82,68,33.436577
2.0,50,33.526209
1.99,51,33.615318
1.86,64,33.729505
2.12,38,33.797578
1.94,56,33.897188
2.03,47,33.981464
2.03,47,34.0634
2.01,49,34.153226
1.92,58,34.253585
2.05,45,34.332916
1.97,53,34.424942
1.94,56,34.95769
2.0,50,35.045847
2.01,49,35.132969
2.01,49,35.218871
2.06,44,35.295295
2.07,43,35.370627
2.05,45,35.450367
2.06,44,35.527165
2.06,44,35.603597
2.08,42,35.676558
2.06,44,35.753762
2.06,44,35.830923
1.83,67,35.953693
1.91,59,36.062053
2.01,49,36.146993
1.86,64,36.261688
1.94,56,36.362827
2.12,38,36.429296
1.9,60,36.534315
2.1,40,36.603568
1.93,57,36.710241
2.16,34,37.218829
2.14,36,37.282809
2.0,50,37.372521
2.03,47,37.461854
2.07,43,37.539459
2.09,41,37.611941
2.12,38,37.678498
1.98,52,37.771005
2.11,39,37.842216
1.74,76,37.979361
2.07,43,38.058337
2.09,41,38.129886
2.09,41,38.200979
2.13,37,38.269914
2.14,36,38.335125
1.98,52,38.429855
2.11,39,38.499545
2.11,39,38.568476
2.09,41,38.642403
1.91,59,38.74718
2.15,35,38.808442
2.12,38,38.876173
2.02,48,38.960421
2.01,49,39.492444
2.02,48,39.577179
2.11,39,39.647667
2.16,34,39.707617
2.08,42,39.781192
2.13,37,39.845131
2.12,38,39.911006
2.07,43,39.986518
2.11,39,40.058016
2.1,40,40.130602
2.1,40,40.200754
2.12,38,40.269482
2.12,38,40.33532
1.99,51,40.42639
2.12,38,40.493676
2.12,38,40.562421
2.12,38,40.631144
2.11,39,40.700116
2.07,43,40.776761
2.06,44,40.855039
2.12,38,40.921696
2.11,39,40.991289
2.1,40,41.061871
2.12,38,41.128525
2.08,42,41.20626
2.06,44,41.70881
2.11,39,41.777776
2.13,37,41.843515
2.11,39,41.911706
2.07,43,41.989309
2.12,38,42.06003
2.14,36,42.12546
2.11,39,42.195006
2.08,42,42.270499
2.17,33,42.328263
2.1,40,42.39912
2.14,36,42.469919
2.11,39,42.542716
2.06,44,42.621285
2.1,40,42.692364
2.05,45,42.772442
2.12,38,42.839779
2.09,41,42.911405
2.14,36,42.97511
2.14,36,43.039966
2.07,43,43.116672
2.08,42,43.189613
2.17,33,43.250609
2.03,47,43.332933
2.12,38,43.399413
2.15,35,43.46164
2.17,33,43.521639
2.15,35,44.00718
2.06,44,44.084351
2.13,37,44.149017
2.06,44,44.226
2.05,45,44.307429
2.17,33,44.365308
2.15,35,44.428269
2.16,34,44.490135
2.12,38,44.563277
2.15,35,44.625287
2.07,43,44.700496
2.12,38,44.767318
2.12,38,44.833231
2.16,34,44.892404
2.09,41,44.964901
2.16,34,45.02485
2.12,38,45.091402
2.06,44,45.170599
2.13,37,45.235659
2.12,38,45.301807
2.16,34,45.364111
2.12,38,45.43053
2.11,39,45.503674
2.1,40,45.577198
2.17,33,45.635823
2.17,33,45.69364
2.08,42,45.766634
2.17,33,46.266324
2.13,37,46.332125
2.17,33,46.394705
2.14,36,46.460895
2.05,45,46.542505
2.17,33,46.600572
2.15,35,46.665538
2.14,36,46.729203
2.17,33,46.797744
2.18,32,46.885441
2.16,34,46.947534
2.16,34,47.065718
2.13,37,47.131972
2.15,35,47.193165
2.13,37,47.257842
2.15,35,47.318971
2.16,34,47.379059
2.15,35,47.446466
2.15,35,47.509747
2.14,36,47.574985
2.15,35,47.638147
2.14,36,47.714622
2.18,32,47.778186
2.16,34,47.841638
2.13,37,47.907569
2.16,34,47.967011
2.11,39,48.036196
2.07,43,48.115971
2.17,33,48.178066
2.17,33,48.727631
2.13,37,48.793216
2.18,32,48.849163
2.1,40,48.919648
2.15,35,48.982527
2.16,34,49.044853
2.07,43,49.124951
2.15,35,49.18872
2.18,32,49.247763
2.1,40,49.320086
2.14,36,49.384258
2.13,37,49.450934
2.18,32,49.510613
2.17,33,49.570282
2.1,40,49.641083
2.16,34,49.798945
2.14,36,49.865716
2.18,32,49.92184
2.16,34,49.980924
2.16,34,50.040597
2.16,34,50.099903
2.16,34,50.159274
2.17,33,50.216696
2.05,45,50.295838
2.15,35,50.359684
2.16,34,50.424596
2.14,36,50.494891
2.13,37,50.567793
2.16,34,51.080429
2.15,35,51.143183
2.15,35,51.210527
