#{"t_start": 1758577206.214072, "env_id": "None"}
r,l,t
-1.72,123,1.691346
-1.8,181,2.046412
-0.92,93,2.231776
-1.61,112,2.456692
-1.06,57,2.571711
-1.38,139,2.840378
-4.3,431,4.171704
-1.35,186,4.532221
-2.71,272,5.056744
-1.1,61,5.171273
-2.1,460,6.625913
-3.25,326,7.220671
-1.18,119,7.449679
-9.0,1000,9.670711
-0.6,111,9.877974
-3.17,567,11.394019
0.59,191,11.741081
1.14,136,11.995134
0.8,170,12.309206
-0.88,89,12.466177
-0.6,11,12.485502
-0.88,338,13.582913
0.71,179,13.907797
-0.67,68,14.040542
1.4,110,14.239465
-0.98,99,14.413348
-1.01,102,14.591657
-0.95,96,14.766287
1.3,120,14.993032
-1.71,172,15.307478
1.45,105,16.002552
-1.21,122,16.226627
-0.12,262,16.712324
-1.05,106,16.90442
1.53,97,17.078415
1.0,150,17.342466
1.33,117,17.555776
1.55,95,18.17297
1.71,79,18.313656
1.46,104,18.504567
1.05,145,18.764457
-0.82,83,18.911981
0.2,230,19.319737
1.6,90,19.480336
1.69,81,19.629082
-0.69,70,19.755351
1.52,98,19.930405
1.85,65,20.575425
1.34,116,20.791471
1.84,66,20.90833
1.85,65,21.023482
-0.39,40,21.093347
1.52,98,21.267774
1.83,67,21.386735
-0.76,77,21.532535
1.46,104,21.724277
1.9,60,21.830122
1.66,84,21.977166
1.64,86,22.129605
1.64,86,22.288885
1.19,131,22.980963
1.92,58,23.084229
1.94,56,23.182156
1.55,95,23.351817
1.79,71,23.484878
1.61,89,23.650765
1.92,58,23.754017
2.01,49,23.839399
1.79,71,23.962522
1.66,84,24.112565
1.7,80,26.922703
1.8,70,27.047982
1.22,128,27.27761
1.65,85,27.891048
1.88,62,28.095951
1.79,71,28.2318
1.86,64,28.347619
1.51,99,28.527418
1.46,104,28.722943
1.85,65,28.836743
1.76,74,28.968252
1.94,56,29.067843
1.89,61,29.173437
1.97,53,29.267358
1.9,60,29.376614
1.64,86,29.530807
1.86,64,29.658041
2.05,45,29.749956
2.03,47,30.341383
2.02,48,30.434179
1.59,91,30.596431
1.69,81,30.803342
1.75,75,30.938256
1.74,76,31.074476
1.84,66,31.191122
1.78,72,31.320025
1.99,51,31.408354
2.02,48,31.496901
1.91,59,31.600296
1.99,51,31.690812
2.04,46,31.775127
1.9,60,31.879489
1.9,60,31.98505
1.98,52,32.07846
1.72,78,32.6439
2.15,35,32.707874
1.89,61,32.816996
1.89,61,32.923129
1.91,59,33.028595
2.05,45,33.133867
1.95,55,33.260682
2.12,38,33.330032
1.95,55,33.430494
1.99,51,33.52199
2.04,46,33.602236
1.94,56,33.701268
2.04,46,33.784259
2.04,46,33.86684
