#{"t_start": 1758581180.9834461, "env_id": "None"}
r,l,t
-0.48,49,6.772992
-0.56,7,6.785408
-3.0,301,7.342211
-1.98,149,7.616382
-3.59,310,8.235756
-1.38,89,8.395744
-0.22,23,8.438669
-1.0,51,8.529666
-5.02,503,9.442278
-1.49,100,9.614832
-1.0,51,9.709828
-2.34,185,10.025914
-0.93,44,10.100984
-1.52,153,10.365408
-0.72,23,10.404945
-2.94,245,11.299915
-0.54,5,11.308724
-0.36,37,11.371924
-1.0,101,11.544146
-0.92,93,11.709569
-1.38,89,11.874827
-0.53,4,11.882819
-5.74,575,13.112374
-0.56,7,13.12538
-2.74,275,13.649478
-0.8,31,13.703998
-1.59,160,13.993391
-0.94,95,14.161623
-1.27,128,14.383231
-3.05,256,15.376896
-2.46,247,15.81343
-0.52,3,15.819235
-1.32,83,15.966521
-0.51,2,15.970326
-1.96,147,16.220711
-8.12,813,17.661793
-9.5,1000,19.867029
-1.77,178,20.174618
-3.71,422,20.87998
-0.55,6,20.890302
-0.87,38,20.95524
-0.62,13,20.977296
-0.79,30,21.02795
-2.69,220,21.402977
-1.54,105,21.580186
-0.5,1,21.581993
-0.29,30,21.631998
-9.5,1000,23.764254
-9.5,1000,25.496207
-2.51,252,25.923209
-1.13,64,26.030842
-4.28,429,28.312031
-0.78,29,28.805295
-0.73,74,28.933786
-0.69,20,28.967419
-0.65,16,28.994656
-5.29,530,29.902927
-0.61,12,29.923869
-2.85,236,30.333501
-0.96,47,30.415932
-0.6,11,30.435155
-5.31,582,31.521017
-2.0,201,31.877855
-0.72,23,31.922422
-2.05,206,32.282837
-1.2,121,32.978802
-1.55,156,33.248839
-0.65,16,33.278036
-0.82,33,33.335834
-0.68,69,33.453338
-1.19,70,33.577169
-1.39,140,33.833018
-0.83,34,33.892675
-1.51,152,34.178293
-1.68,169,34.476798
-4.24,375,35.193093
-0.94,45,35.27289
-0.58,9,35.289489
-0.46,47,35.36981
-0.56,7,35.382064
-0.68,19,35.414814
-0.5,1,35.416666
-0.96,47,35.499174
-0.46,47,35.584259
-0.57,58,35.683879
-2.14,165,35.972648
-0.76,27,36.020287
-2.23,224,36.41622
-0.52,3,36.421782
-0.89,40,36.493841
-1.33,84,37.107894
-0.56,7,37.120309
-0.84,85,37.268913
-2.03,154,37.53944
-0.71,22,37.578187
-1.09,60,37.682068
-0.65,16,37.710088
-1.02,53,37.802815
-1.63,114,38.014737
-2.35,236,38.42551
-1.04,55,38.531314
-0.97,48,38.614793
-0.81,32,38.671824
-1.02,103,38.848759
-0.94,45,38.927447
-0.19,20,38.963186
-0.58,9,38.980915
-0.68,19,39.019268
-0.57,58,39.126418
-0.53,54,39.218129
-0.72,23,39.25737
-1.88,189,39.58151
-0.7,71,39.703971
-1.87,138,39.94517
-0.66,17,39.974646
-0.78,79,40.120065
-0.99,50,40.209511
-1.39,90,40.363738
-1.37,138,40.600885
-0.95,96,41.242465
-0.71,72,41.371122
-0.64,15,41.397388
-0.43,94,41.560467
-0.75,26,41.606233
-1.8,131,41.837514
-0.79,30,41.889858
-0.77,28,41.939517
-0.62,13,41.962153
-0.59,10,41.979356
-0.79,80,42.121489
-0.92,43,42.198904
-0.84,35,42.259831
-0.55,6,42.270484
-1.26,77,42.405278
-1.16,67,42.521307
-0.63,14,42.545983
-9.5,1000,44.345421
-3.1,311,45.393049
-0.94,45,45.471216
-0.7,21,45.50763
-0.33,34,45.568744
-0.73,24,45.610611
-0.78,79,45.748356
-0.79,30,45.80288
-1.57,208,46.187608
-0.59,10,46.204914
-1.38,89,46.370789
-0.56,7,46.384083
-1.93,194,46.759137
-1.7,121,46.979012
-1.27,128,47.216666
-0.62,13,47.239242
-0.69,20,47.274698
-0.3,31,47.331226
-0.68,19,47.372962
-0.72,23,47.414406
-0.57,8,47.428808
-0.71,22,47.466857
-0.59,10,47.48394
-0.79,30,47.536192
-0.8,31,47.59052
-0.7,21,47.627518
-0.55,6,47.6381
-0.46,47,47.720398
-0.93,44,47.79644
-0.72,23,47.836244
-3.75,326,51.053457
-0.65,16,51.081531
-0.65,16,51.112047
-0.56,7,51.124701
-0.54,5,51.133727
-1.51,102,51.31538
-0.77,28,51.364833
-1.01,102,51.548891
-0.56,7,51.564273
-0.86,37,52.153047
-0.55,6,52.163508
-0.59,10,52.181096
-0.69,70,52.303516
-0.75,26,52.349508
-0.72,23,52.390583
-0.78,79,52.52992
-0.65,16,52.557755
-0.9,41,52.634724
-1.06,107,52.821834
-0.62,13,52.844504
-0.52,53,52.938179
-3.56,357,53.555172
-1.01,102,53.749435
-1.18,69,53.873868
-0.83,34,53.934532
-0.59,10,53.95195
-0.54,5,53.96085
-0.21,22,53.999695
-9.0,1000,55.802634
-0.68,19,56.291365
-1.13,64,56.404051
-2.86,237,56.830675
-0.92,93,56.994919
-0.37,38,57.061269
-1.28,129,57.285357
-1.09,60,57.391411
-0.68,19,57.425364
-0.71,22,57.464306
-0.94,45,57.545588
-0.38,39,57.614404
-0.27,28,57.663693
-0.91,92,57.827569
-0.63,14,57.857468
-0.5,1,57.859737
-0.23,24,57.906682
-0.84,35,57.970211
-0.52,3,57.976171
-0.77,28,58.026448
-0.6,11,58.04746
-0.53,4,58.056588
-0.52,3,58.062701
-2.64,265,58.540304
-0.67,18,58.576358
-0.86,37,58.641157
-1.62,163,58.942396
-0.33,34,59.001123
-0.7,21,59.038332
-0.52,3,59.043881
-0.57,8,59.058513
-0.11,12,59.079984
-0.79,30,59.135226
-0.37,38,59.203613
-0.62,13,59.22657
-0.37,38,59.297136
-1.06,107,59.490053
-0.73,24,59.534168
-0.68,19,59.570126
-0.82,33,59.630337
-0.77,78,59.768082
-0.74,25,59.812014
-0.55,6,59.822601
-0.77,78,60.432768
-2.27,228,60.846751
-0.69,70,60.986479
-0.55,6,61.001273
-0.83,84,61.180237
-1.45,96,61.389377
-0.59,10,61.407519
-0.3,31,61.484539
-1.19,70,61.620301
-0.65,16,61.653372
