#{"t_start": 1758581180.9871268, "env_id": "None"}
r,l,t
-1.3,81,6.827133
-0.98,49,6.915395
-1.26,127,7.155063
-2.22,173,7.471135
-0.55,6,7.48196
-0.3,31,7.536706
-0.69,20,7.575277
-0.98,49,7.668626
-1.32,83,7.822217
-0.41,42,7.901351
-0.36,37,7.97026
-1.56,157,8.302467
-0.81,32,8.360028
-1.11,112,8.561593
-1.95,196,8.923638
-1.49,100,9.102441
-0.83,34,9.16694
-0.81,32,9.226507
-5.53,504,10.102583
-1.41,92,10.262207
-0.72,23,10.301821
-5.13,514,11.661745
-0.51,52,11.754961
-0.6,11,11.781444
-0.52,3,11.787197
-0.5,1,11.789227
-0.88,89,11.950373
-1.84,235,12.554469
-2.98,299,13.103067
-0.32,33,13.163144
-1.79,130,13.401052
-1.4,141,13.679879
-0.88,39,13.746523
-6.81,682,15.497785
-1.35,136,15.737463
-0.93,94,15.901294
-1.12,113,16.100144
-0.9,41,16.170161
-9.5,1000,17.938013
-0.81,32,17.99521
-3.41,591,19.490006
-9.0,1000,21.185752
-2.03,154,21.448129
-9.5,1000,23.579765
-0.69,20,23.613173
-2.39,240,24.024176
-0.57,58,24.124193
-6.54,705,25.342897
-0.69,70,25.468903
-1.25,126,25.68249
-1.16,67,25.794996
-0.87,38,25.859249
-0.63,14,25.882736
-9.0,1000,29.586723
-0.54,5,29.595903
-0.7,21,29.631871
-0.64,65,29.742548
-0.63,14,29.766556
-3.29,330,30.337005
-0.93,94,30.499176
-1.23,124,30.751172
-0.99,50,30.867328
-0.57,8,30.881547
-4.66,467,31.706491
-0.75,26,31.752162
-0.87,38,31.821459
-7.79,780,33.672128
-0.77,28,33.721563
-0.5,51,33.820342
-0.52,3,33.825812
-0.21,22,33.864497
-1.03,54,33.959779
-1.0,51,34.054326
-0.51,2,34.058323
-0.43,44,34.145071
-1.24,75,34.28372
-0.6,11,34.303338
-1.54,155,34.573283
-0.6,61,34.683092
-1.36,87,34.854095
-0.84,35,34.923335
-4.46,447,35.734693
-0.73,24,35.775799
-9.0,1000,38.014938
-0.56,7,38.027441
-0.82,33,38.086477
-2.21,222,38.471021
-0.57,8,38.484879
-1.21,72,38.621216
-0.86,37,38.685705
-1.54,105,38.866293
-1.09,60,38.972662
-0.77,28,39.029944
-0.76,27,39.078743
-0.6,11,39.100287
